Food,Grams,Calories,Protein,Fat,Carbs
Brazil nuts,100,652.86,14.29,67.14,10.0
Cashews,100,560.0,17.14,45.71,28.57
coconut sweetened,100,548.0,2.0,40.0,52.0
Peanut butter,100,600.0,24.0,50.0,18.0
"Peanut butter, natural",100,568.0,26.0,48.0,16.0
Peanuts,100,580.0,26.0,50.0,18.0
Pecans,100,659.62,9.62,67.31,13.46
Sesame seeds,100,560.0,18.0,48.0,20.0
Sunflower seeds,100,560.0,24.0,52.0,20.0
Walnuts,100,650.0,14.0,64.0,16.0
Carbonated drinks Artificially sweetened,100,0.0,0.0,0.0,0.0
Club soda,100,0.0,0.0,0.0,0.0
Cola drinks,100,39.6,0.0,0.0,10.98
Fruit-flavored soda,100,46.53,0.0,0.0,12.14
Ginger ale,100,30.35,0.0,0.0,8.09
Root beer,100,40.46,0.0,0.0,10.12
